subject,source,target,acc,mean,std
2,5,5,"[0.9608843537414966, 0.967687074829932, 0.9821428571428571, 0.9761904761904762, 0.9889455782312925]",0.9751700680272108,0.009995023982935426
2,5,7,"[0.9540816326530612, 0.9472789115646258, 0.9744897959183674, 0.9914965986394558, 0.9455782312925171]",0.9625850340136054,0.01773932627266028
2,5,9,"[0.9634353741496599, 0.9923469387755102, 0.9863945578231292, 0.9583333333333334, 0.9821428571428571]",0.976530612244898,0.0132783818339749
2,7,1,"[0.9736394557823129, 0.9642857142857143, 0.9608843537414966, 0.9600340136054422, 0.9821428571428571]",0.9681972789115646,0.008479558409740058
2,7,3,"[0.9591836734693877, 0.9846938775510204, 0.9319727891156463, 0.9846938775510204, 0.9863945578231292]",0.9693877551020407,0.02126870503518841
2,7,5,"[0.9574829931972789, 0.9549319727891157, 0.9821428571428571, 0.9761904761904762, 0.9795918367346939]",0.9700680272108844,0.011501930897218283
2,7,7,"[0.9761904761904762, 0.9889455782312925, 0.9897959183673469, 0.9965986394557823, 0.9880952380952381]",0.9879251700680272,0.0065954827992058965
2,7,9,"[0.951530612244898, 0.9319727891156463, 0.9710884353741497, 0.9489795918367347, 0.9702380952380952]",0.9547619047619047,0.014623872671228328
2,9,1,"[0.9736394557823129, 0.9608843537414966, 0.9413265306122449, 0.9481292517006803, 0.9472789115646258]",0.9542517006802722,0.011602080204633014
2,9,3,"[0.9829931972789115, 0.9821428571428571, 0.9872448979591837, 0.9923469387755102, 0.9863945578231292]",0.9862244897959183,0.0036236863524936277
2,9,5,"[0.9608843537414966, 0.9472789115646258, 0.9770408163265306, 0.9379251700680272, 0.9736394557823129]",0.9593537414965987,0.014994947241603482
2,9,7,"[0.8996598639455783, 0.9387755102040817, 0.9013605442176871, 0.9651360544217688, 0.9226190476190477]",0.9255102040816328,0.024519303840387727
2,9,9,"[0.9761904761904762, 0.9923469387755102, 0.9863945578231292, 0.9761904761904762, 0.9965986394557823]",0.9855442176870749,0.008296810148061547
3,1,1,"[0.9685374149659864, 0.9030612244897959, 0.9498299319727891, 0.9719387755102041, 0.951530612244898]",0.9489795918367347,0.024598210519407582
3,1,3,"[0.9064625850340136, 0.8945578231292517, 0.9081632653061225, 0.9319727891156463, 0.8877551020408163]",0.90578231292517,0.015119803245505369
3,1,5,"[0.9498299319727891, 0.9778911564625851, 0.9481292517006803, 0.9464285714285714, 0.9532312925170068]",0.9551020408163264,0.011614538148955033
3,1,7,"[0.8384353741496599, 0.8154761904761905, 0.8519148936170213, 0.8384353741496599, 0.8367346938775511]",0.8361993052540166,0.011719333196736938
3,1,9,"[0.8554421768707483, 0.8350340136054422, 0.8154761904761905, 0.8630952380952381, 0.9064625850340136]",0.8551020408163265,0.03057726648648554
3,3,1,"[0.9532312925170068, 0.8341836734693877, 0.9302721088435374, 0.9438775510204082, 0.9277210884353742]",0.9178571428571427,0.04285106856856341
3,3,3,"[0.9430272108843537, 0.9642857142857143, 0.9549319727891157, 0.9591836734693877, 0.9540816326530612]",0.9551020408163267,0.007040898484518532
3,3,5,"[0.951530612244898, 0.9489795918367347, 0.9421768707482994, 0.9455782312925171, 0.9506802721088435]",0.9477891156462585,0.0034687207575461007
3,3,7,"[0.8477891156462585, 0.8894557823129252, 0.894468085106383, 0.858843537414966, 0.8698979591836735]",0.8720908959328412,0.01773784585955135
3,3,9,"[0.8554421768707483, 0.8715986394557823, 0.8256802721088435, 0.9081632653061225, 0.8843537414965986]",0.869047619047619,0.027700735402161034
3,5,1,"[0.9710884353741497, 0.8707482993197279, 0.9447278911564626, 0.967687074829932, 0.9642857142857143]",0.9437074829931973,0.037609266667116524
3,5,3,"[0.8937074829931972, 0.9540816326530612, 0.9302721088435374, 0.9591836734693877, 0.9370748299319728]",0.9348639455782312,0.02315424819743879
3,5,5,"[0.9506802721088435, 0.9821428571428571, 0.9625850340136054, 0.9642857142857143, 0.9702380952380952]",0.9659863945578231,0.010274698957138229
3,5,7,"[0.7772108843537415, 0.8554421768707483, 0.8646808510638297, 0.8477891156462585, 0.858843537414966]",0.8407933130699089,0.0322573426559201
3,5,9,"[0.8358843537414966, 0.8494897959183674, 0.8886054421768708, 0.8775510204081632, 0.923469387755102]",0.875,0.030730120747606535
3,7,1,"[0.9472789115646258, 0.7916666666666666, 0.9217687074829932, 0.939625850340136, 0.9285714285714286]",0.90578231292517,0.05773152006884128
3,7,3,"[0.8962585034013606, 0.9107142857142857, 0.9149659863945578, 0.9200680272108843, 0.8698979591836735]",0.9023809523809524,0.01807367903980721
3,7,5,"[0.923469387755102, 0.8937074829931972, 0.9226190476190477, 0.9124149659863946, 0.9421768707482994]",0.9188775510204081,0.01583186275202319
3,7,7,"[0.9404761904761905, 0.9693877551020408, 0.9591489361702128, 0.9413265306122449, 0.9532312925170068]",0.9527141409755391,0.010946493001545538
3,7,9,"[0.8937074829931972, 0.9200680272108843, 0.9251700680272109, 0.9370748299319728, 0.9659863945578231]",0.9284013605442176,0.023543214259417973
3,9,1,"[0.8622448979591837, 0.6879251700680272, 0.8826530612244898, 0.8860544217687075, 0.8299319727891157]",0.8297619047619047,0.07367381486216197
3,9,3,"[0.9030612244897959, 0.9217687074829932, 0.9243197278911565, 0.8554421768707483, 0.8894557823129252]",0.8988095238095237,0.025156274948436183
3,9,5,"[0.8435374149659864, 0.8392857142857143, 0.8639455782312925, 0.8639455782312925, 0.8767006802721088]",0.8574829931972788,0.01398906443719642
3,9,7,"[0.9294217687074829, 0.923469387755102, 0.8978723404255319, 0.842687074829932, 0.9141156462585034]",0.9015132435953104,0.031284350403011585
3,9,9,"[0.9591836734693877, 0.95578231292517, 0.9540816326530612, 0.9566326530612245, 0.9753401360544217]",0.960204081632653,0.007745100365126313
4,1,1,"[0.9013605442176871, 0.939625850340136, 0.9413265306122449, 0.9217687074829932, 0.8943781942078365]",0.9196919653721795,0.019217466289504933
4,1,3,"[0.7697536108751062, 0.7227891156462585, 0.7568027210884354, 0.7721088435374149, 0.7380952380952381]",0.7519099058484906,0.018916659329518637
4,1,5,"[0.7848639455782312, 0.8792517006802721, 0.7602040816326531, 0.7729591836734694, 0.7925170068027211]",0.7979591836734694,0.04209518642618714
4,1,7,"[0.7678571428571429, 0.7789115646258503, 0.8239795918367347, 0.7636054421768708, 0.7457482993197279]",0.7760204081632653,0.026251144504776086
4,1,9,"[0.810374149659864, 0.7908163265306123, 0.6777210884353742, 0.7542517006802721, 0.8256802721088435]",0.7717687074829932,0.05274741497611959
