subject,grasp,acc,mean
4,6,"[0.7316326530612245, 0.8183673469387756, 0.7040816326530612, 0.7285714285714285, 0.7714285714285715]",0.7508163265306123
5,1,"[0.8142857142857143, 0.7826530612244897, 0.8520408163265306, 0.6857142857142857, 0.8448979591836735]",0.7959183673469388
5,2,"[0.7540816326530613, 0.8224489795918367, 0.8010204081632653, 0.686734693877551, 0.6428571428571429]",0.7414285714285713
5,3,"[0.7581632653061224, 0.7693877551020408, 0.8551020408163266, 0.8, 0.8306122448979592]",0.8026530612244898
5,4,"[0.8938775510204081, 0.7285714285714285, 0.9030612244897959, 0.9051020408163265, 0.8530612244897959]",0.8567346938775511
5,5,"[0.8744897959183674, 0.8295918367346938, 0.753061224489796, 0.9173469387755102, 0.8020408163265306]",0.8353061224489796
5,6,"[0.639795918367347, 0.6704081632653062, 0.7122448979591837, 0.710204081632653, 0.8214285714285714]",0.7108163265306123
6,1,"[0.9061224489795918, 0.9173469387755102, 0.9112244897959184, 0.8806122448979592, 0.9122448979591836]",0.9055102040816326
6,2,"[0.9438775510204082, 0.7571428571428571, 0.9377551020408164, 0.9408163265306122, 0.9]",0.8959183673469389
6,3,"[0.9285714285714286, 0.7612244897959184, 0.9377551020408164, 0.8357142857142857, 0.8775510204081632]",0.8681632653061225
6,4,"[0.8959183673469387, 0.8887755102040816, 0.9295918367346939, 0.8540816326530613, 0.8091836734693878]",0.8755102040816327
6,5,"[0.9173469387755102, 0.9193877551020408, 0.9408163265306122, 0.9132653061224489, 0.9142857142857143]",0.9210204081632654
6,6,"[0.7826530612244897, 0.923469387755102, 0.9113149847094801, 0.8989795918367347, 0.8795918367346939]",0.8792017724521001
7,1,"[0.8888888888888888, 0.7887755102040817, 0.8979591836734694, 0.8857142857142857, 0.8173469387755102]",0.8557369614512471
7,2,"[0.8530612244897959, 0.9316326530612244, 0.9489795918367347, 0.8397959183673469, 0.9029622063329928]",0.895286318817619
7,3,"[0.7969387755102041, 0.7969387755102041, 0.8142857142857143, 0.7275510204081632, 0.7438775510204082]",0.7759183673469388
7,4,"[0.8591836734693877, 0.9030612244897959, 0.9132653061224489, 0.9244897959183673, 0.9275510204081633]",0.9055102040816326
7,5,"[0.8765306122448979, 0.9193877551020408, 0.9071428571428571, 0.8581632653061224, 0.7928571428571428]",0.8708163265306123
7,6,"[0.8112244897959183, 0.8877551020408163, 0.9561224489795919, 0.9215086646279307, 0.9153924566768603]",0.8984006324242235
8,1,"[0.8979591836734694, 0.8785714285714286, 0.8540816326530613, 0.7714285714285715, 0.8428571428571429]",0.8489795918367348
8,2,"[0.8561224489795919, 0.8826530612244898, 0.9030612244897959, 0.9275510204081633, 0.7969387755102041]",0.8732653061224489
8,3,"[0.7295918367346939, 0.8295918367346938, 0.8520408163265306, 0.7826530612244897, 0.889795918367347]",0.8167346938775509
8,4,"[0.9255102040816326, 0.7346938775510204, 0.9469387755102041, 0.8775510204081632, 0.9255102040816326]",0.8820408163265305
8,5,"[0.8469387755102041, 0.7540816326530613, 0.9061224489795918, 0.8693877551020408, 0.8122448979591836]",0.8377551020408163
8,6,"[0.8112244897959183, 0.8857142857142857, 0.8581632653061224, 0.8244897959183674, 0.8367346938775511]",0.8432653061224489
