subject,source,target,acc,mean,std
1,6,8,"[0.9617346938775511, 0.923469387755102, 0.9532312925170068, 0.9727891156462585, 0.9421768707482994]",0.9506802721088435,0.016913006653675948
1,8,2,"[0.8681972789115646, 0.9319727891156463, 0.9022108843537415, 0.8044217687074829, 0.8801020408163265]",0.8773809523809524,0.04245369435704112
1,8,4,"[0.8001700680272109, 0.8078231292517006, 0.8954081632653061, 0.8010204081632653, 0.9022108843537415]",0.8413265306122449,0.04705877886866917
1,8,5,"[0.8996598639455783, 0.9243197278911565, 0.8920068027210885, 0.891156462585034, 0.9200680272108843]",0.9054421768707483,0.014059185500299567
1,8,6,"[0.9693877551020408, 0.9387234042553192, 0.9498299319727891, 0.9625850340136054, 0.9617346938775511]",0.9564521638442611,0.01087207075746869
1,8,8,"[0.9812925170068028, 0.9625850340136054, 0.9727891156462585, 0.9727891156462585, 0.9651360544217688]",0.9709183673469388,0.0065954827992059
2,2,2,"[0.9362244897959183, 0.9574829931972789, 0.9617346938775511, 0.9540816326530612, 0.9439252336448598]",0.9506898086337339,0.009323585582825153
2,2,4,"[0.9166666666666666, 0.9107901444350043, 0.8792517006802721, 0.91921768707483, 0.9498299319727891]",0.9151512261659125,0.022491066069143004
2,2,5,"[0.9481292517006803, 0.9668367346938775, 0.951530612244898, 0.9319727891156463, 0.8715986394557823]",0.9340136054421769,0.03311569936104944
2,2,6,"[0.8545918367346939, 0.8954081632653061, 0.9328231292517006, 0.9030612244897959, 0.9336734693877551]",0.9039115646258503,0.02907616211426334
2,2,8,"[0.8920068027210885, 0.9277210884353742, 0.9268707482993197, 0.8876595744680851, 0.8887000849617672]",0.9045916597771269,0.01859540021393687
2,4,2,"[0.8384353741496599, 0.8971088435374149, 0.8826530612244898, 0.9141156462585034, 0.8385726423109601]",0.8741771134962055,0.0307829258897787
2,4,4,"[0.9685374149659864, 0.9796091758708582, 0.9659863945578231, 0.9719387755102041, 0.9693877551020408]",0.9710919032013825,0.004663836957535558
2,4,5,"[0.935374149659864, 0.9719387755102041, 0.9328231292517006, 0.9277210884353742, 0.8835034013605442]",0.9302721088435375,0.028151267614365417
2,4,6,"[0.8086734693877551, 0.8681972789115646, 0.826530612244898, 0.7738095238095238, 0.9166666666666666]",0.8387755102040817,0.04941522539564502
2,4,8,"[0.8826530612244898, 0.8801020408163265, 0.9081632653061225, 0.9097872340425532, 0.8742565845369583]",0.8909924371852901,0.014941997293644108
2,5,2,"[0.9047619047619048, 0.9438775510204082, 0.9336734693877551, 0.9481292517006803, 0.9056924384027187]",0.9272269230546935,0.018569436126190036
2,5,4,"[0.9523809523809523, 0.9524214103653356, 0.9489795918367347, 0.9549319727891157, 0.9685374149659864]",0.9554502684676249,0.006811848098500096
2,5,5,"[0.9345238095238095, 0.9634353741496599, 0.9608843537414966, 0.9472789115646258, 0.8928571428571429]",0.939795918367347,0.02565379091463705
2,5,6,"[0.8409863945578231, 0.8979591836734694, 0.9285714285714286, 0.8656462585034014, 0.9413265306122449]",0.8948979591836735,0.03757926203101503
2,5,8,"[0.8664965986394558, 0.9141156462585034, 0.9481292517006803, 0.8995744680851064, 0.9056924384027187]",0.9068016806172932,0.02622756137184469
2,6,2,"[0.8775510204081632, 0.9132653061224489, 0.9166666666666666, 0.8375850340136054, 0.9167374681393373]",0.8923610990700442,0.03111819271977246
2,6,4,"[0.8979591836734694, 0.8504672897196262, 0.8843537414965986, 0.8052721088435374, 0.8010204081632653]",0.8478145463792994,0.03963883156521921
2,6,5,"[0.9430272108843537, 0.9549319727891157, 0.9132653061224489, 0.91921768707483, 0.8163265306122449]",0.9093537414965986,0.04894473911152615
2,6,6,"[0.8647959183673469, 0.95578231292517, 0.9498299319727891, 0.8996598639455783, 0.9668367346938775]",0.9273809523809524,0.03886566080726858
2,6,8,"[0.8903061224489796, 0.8784013605442177, 0.8954081632653061, 0.8646808510638297, 0.8861512319456245]",0.8829895458535916,0.010714572877880666
2,8,2,"[0.8886054421768708, 0.9115646258503401, 0.9226190476190477, 0.9217687074829932, 0.9243840271877655]",0.9137883700634035,0.013364576286457756
2,8,4,"[0.9277210884353742, 0.8946474086661003, 0.8954081632653061, 0.9302721088435374, 0.9132653061224489]",0.9122628150665534,0.015222875524699468
2,8,5,"[0.9447278911564626, 0.9226190476190477, 0.9421768707482994, 0.9302721088435374, 0.8613945578231292]",0.9202380952380953,0.03049581031483335
